MandelSiz| exectime.java(ms) exectime.clojure(ms)
#####    #########           #####
100      11.515956           90.97791
200      22.154556           263.893038
300      42.036901           610.872097
400      70.4424729          982.452582
500      105.705857          1495.433005
600      151.296857          2091.412938
700      201.6435589         2843.495665
800      260.195961          3650.13744
1000     407.073079          5680.39932
1200     577.353532          8208.967304
1400     785.8052849         11126.994209
2000     1593.239278         22588.712673
2500     2487.326002         35210.526506
3000     3576.071694         50998.301209


